City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Kristiinankaupunki,FI,2021-09-23 21:14:30,62.2743,21.376,47.5,89,100,21.5
271,Aykhal,RU,2021-09-23 21:14:31,66.0,111.5,32.54,89,97,4.5
272,Casian,PH,2021-09-23 21:14:31,11.035,119.7136,82.15,74,100,7.23
273,Bethel,US,2021-09-23 21:13:47,41.3712,-73.414,77.72,85,95,1.99
274,Berlevag,NO,2021-09-23 21:14:31,70.8578,29.0864,42.6,70,0,12.66
275,Temir,KZ,2021-09-23 21:14:32,49.1414,57.13,54.48,33,100,20.42
276,Saint-Joseph,RE,2021-09-23 21:14:32,-21.3667,55.6167,68.36,76,17,11.83
277,Edeleny,HU,2021-09-23 21:14:33,48.3,20.7333,55.9,62,100,9.42
278,Calabozo,VE,2021-09-23 21:14:33,8.9242,-67.4293,81.61,83,100,3.76
279,Codrington,AU,2021-09-23 21:14:34,-38.2667,141.9667,50.7,86,98,18.63
280,Seoul,KR,2021-09-23 21:10:05,37.5683,126.9778,62.04,79,38,2.51
281,Gamba,GA,2021-09-23 21:14:34,-2.65,10.0,76.44,83,94,6.2
282,Atar,MR,2021-09-23 21:14:35,20.5169,-13.0499,96.71,15,67,6.87
283,Aguimes,ES,2021-09-23 21:14:35,27.9054,-15.4461,70.66,70,20,10.36
284,Aloleng,PH,2021-09-23 21:14:36,16.1307,119.7824,79.65,77,50,3.78
285,Alice Springs,AU,2021-09-23 21:10:55,-23.7,133.8833,42.35,49,13,0.0
286,Pine Bluff,US,2021-09-23 21:14:36,34.2284,-92.0032,78.91,26,0,4.76
287,Hobyo,SO,2021-09-23 21:14:37,5.3505,48.5268,77.52,85,82,23.0
288,Mareeba,AU,2021-09-23 21:14:37,-17.0,145.4333,65.12,88,41,2.3
289,Aksarayskiy,RU,2021-09-23 21:14:38,46.7924,48.0119,55.35,79,100,9.6
290,Saint-Pierre,RE,2021-09-23 21:14:38,-21.3393,55.4781,69.44,73,0,4.61
